"partID","dyadID","trigram","correct_response","response"
"36","12","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"36","12","CURIOSITY:NAP:WHISKERS","Cat",""
"36","12","STALK:TRAINER:KING","Lion",""
"36","12","SURPRISE:LINE:BIRTHDAY","Party","happy"
"36","12","RED:GO:CAR","Stop",""
"36","12","MOUSE : SHARP : BLUE","Cheese","trap"
"37","12","QUACK:POND:WADDLE","Duck",""
"37","12","ATHLETES:WEB:RABBIT","Foot","spider"
"37","12","HONEY:SWARM:STING","Bee","bee"
"37","12","MATCHES:SMOKE:BUSH","Fire","fire"
"37","12","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"37","12","CURIOSITY:NAP:WHISKERS","Cat","cat"
"37","12","STALK:TRAINER:KING","Lion",""
"37","12","SURPRISE:LINE:BIRTHDAY","Party","party"
"37","12","RED:GO:CAR","Stop","light"
"37","12","MOUSE : SHARP : BLUE","Cheese","cheese"
"38","13","QUACK:POND:WADDLE","Duck","Duck"
"38","13","ATHLETES:WEB:RABBIT","Foot",""
"38","13","HONEY:SWARM:STING","Bee","Bee"
"38","13","MATCHES:SMOKE:BUSH","Fire","Wood"
"38","13","CHOCOLATE:FORTUNE:TIN","Cookie","Candy"
"38","13","CURIOSITY:NAP:WHISKERS","Cat","Cat"
"38","13","STALK:TRAINER:KING","Lion",""
"38","13","SURPRISE:LINE:BIRTHDAY","Party","Party"
"38","13","RED:GO:CAR","Stop","Race"
"38","13","MOUSE : SHARP : BLUE","Cheese","Trap"
"39","13","QUACK:POND:WADDLE","Duck","du"
"39","13","ATHLETES:WEB:RABBIT","Foot",""
"39","13","HONEY:SWARM:STING","Bee","Bee"
"39","13","MATCHES:SMOKE:BUSH","Fire","cigerettes"
"39","13","CHOCOLATE:FORTUNE:TIN","Cookie",""
"39","13","CURIOSITY:NAP:WHISKERS","Cat","Cat"
"39","13","STALK:TRAINER:KING","Lion",""
"39","13","SURPRISE:LINE:BIRTHDAY","Party","party"
"39","13","RED:GO:CAR","Stop","Traffic"
"39","13","MOUSE : SHARP : BLUE","Cheese","chee"
"4","2","QUACK:POND:WADDLE","Duck","duck"
"4","2","ATHLETES:WEB:RABBIT","Foot",""
"4","2","HONEY:SWARM:STING","Bee","bee"
"4","2","MATCHES:SMOKE:BUSH","Fire","fire"
"4","2","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"4","2","CURIOSITY:NAP:WHISKERS","Cat","cat"
"4","2","STALK:TRAINER:KING","Lion","corn"
"4","2","SURPRISE:LINE:BIRTHDAY","Party","party"
"4","2","RED:GO:CAR","Stop","light"
"4","2","MOUSE : SHARP : BLUE","Cheese","cheese"
"40","14","QUACK:POND:WADDLE","Duck","duck"
"40","14","ATHLETES:WEB:RABBIT","Foot","hole"
"40","14","HONEY:SWARM:STING","Bee","bee"
"40","14","MATCHES:SMOKE:BUSH","Fire","fire"
"40","14","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"40","14","CURIOSITY:NAP:WHISKERS","Cat","cat"
"40","14","STALK:TRAINER:KING","Lion","work"
"40","14","SURPRISE:LINE:BIRTHDAY","Party","party"
"40","14","RED:GO:CAR","Stop",""
"40","14","MOUSE : SHARP : BLUE","Cheese","cheese"
"41","14","QUACK:POND:WADDLE","Duck","duck"
"41","14","ATHLETES:WEB:RABBIT","Foot",""
