partID,dyadID,Sentence,Stem,Target,Hannah,Jennie,Amelia,Notes
51.00,22.00,3.00,Shirley asked for help getting home ,from her friend,3.00,3,4,
51.00,22.00,4.00,Sam read the newspaper ,everyday,3.00,3,3,
51.00,22.00,5.00,Jenny went home to cook dinner ,for her family,5.00,4,5,
51.00,22.00,6.00,Katherine baby-sat the neighbor's kids ,during her highschool years,3.00,3,4,
51.00,22.00,7.00,Tom bottle fed the baby ,at night,3.00,3,2,
51.00,22.00,8.00,Bert changed the oil ,often,3.00,3,4,
55.00,23.00,1.00,Linda swatted at the flies ,in the kitchen.,3.00,3,3,
55.00,23.00,2.00,Helen crammed for the test ,the night before.,3.00,3,3,
55.00,23.00,3.00,Shirley asked for help getting home ,after school.,3.00,4,3,
55.00,23.00,4.00,Sam read the newspaper ,during breakfast.,4.00,3,3,
55.00,23.00,5.00,Jenny went home to cook dinner ,after a long day at work.,1.00,1,1,
55.00,23.00,6.00,Katherine baby-sat the neighbor's kids ,while their mother was working.,3.00,2,1,
55.00,23.00,7.00,Tom bottle fed the baby ,before sitting down for dinner.,3.00,3,3,
55.00,23.00,8.00,Bert changed the oil ,on his car.,3.00,3,3,
54.00,23.00,1.00,Linda swatted at the flies ,cruelly,2.00,2,2,
54.00,23.00,2.00,Helen crammed for the test ,but it was not really helpfull,3.00,3,3,
54.00,23.00,3.00,Shirley asked for help getting home ,then no one replied that,3.00,4,3,
54.00,23.00,4.00,Sam read the newspaper ,carefully,3.00,3,3,
54.00,23.00,5.00,Jenny went home to cook dinner ,while her husband was playing LOL,5.00,5,5,
54.00,23.00,6.00,Katherine baby-sat the neighbor's kids ,,,,,
54.00,23.00,7.00,Tom bottle fed the baby ,,,,,
54.00,23.00,8.00,Bert changed the oil ,for his maverlous Ducati,4.00,4,3,
57.00,24.00,1.00,Linda swatted at the flies ,as they flew around her head.,3.00,3,3,
57.00,24.00,2.00,Helen crammed for the test ,so she could pass the class.,3.00,3,4,
57.00,24.00,3.00,Shirley asked for help getting home ,because it was dark out.,3.00,4,4,
57.00,24.00,4.00,Sam read the newspaper ,in his comfy chair.,3.00,3,3,
57.00,24.00,5.00,Jenny went home to cook dinner ,for herself.,2.00,2,2,
57.00,24.00,6.00,Katherine baby-sat the neighbor's kids ,until 11 p.m last night.,3.00,3,3,
57.00,24.00,7.00,Tom bottle fed the baby ,while holding it in his arms.,2.00,3,2,
57.00,24.00,8.00,Bert changed the oil ,in his car.,3.00,3,3,
59.00,25.00,1.00,Linda swatted at the flies ,on the hot summer day.,3.00,3,3,
59.00,25.00,2.00,Helen crammed for the test ,all night long.,3.00,3,3,
59.00,25.00,3.00,Shirley asked for help getting home ,after prom.,3.00,4,4,
59.00,25.00,4.00,Sam read the newspaper ,as she ate her breakfast.,2.00,3,3,
59.00,25.00,5.00,Jenny went home to cook dinner ,after a long day at work.,1.00,1,3,
59.00,25.00,6.00,Katherine baby-sat the neighbor's kids ,when they went to the movies.,3.00,3,3,
59.00,25.00,7.00,Tom bottle fed the baby ,as he held it in his arms.,2.00,3,2,
59.00,25.00,8.00,Bert changed the oil ,in the old car.,3.00,3,3,
58.00,25.00,1.00,Linda swatted at the flies ,as she saw them fly in front of her.,3.00,3,3,
58.00,25.00,2.00,Helen crammed for the test ,because she decided to procrastinate throughout the semester.,3.00,4,4,
58.00,25.00,3.00,Shirley asked for help getting home ,because it was dark and gloomy outside.,3.00,5,4,
